Product ID,Product Name,Size,Total Inventory,Price,Expiry
72060,Aceclofenac 100,1.5L,0,10.99,01-12-20
339270,Fenoprofen 100,750ML,5,19.99,12-12-20
31057,Choline 25,12.0Z,18,8.99,31-12-20
329138,Paracetamol 50,750ML,0,20.99,04-12-20
156116,Lorazepam 10,750ML,0,16.99,19-01-21
69901,Temazepam 10,12.0Z,0,12.99,07-03-21
80397,Budesonide 10,750ML,64,17.99,01-12-20
342480,Loratadine 20,750ML,17,22.99,12-12-20
43799,Aceclofenac 200,750ML,0,6.79,31-12-20
123196,Fenoprofen 25,750ML,0,19.99,04-12-20
303571,Choline 50,750ML,0,7.19,19-01-21
236680,Paracetamol 100,750ML,0,19.39,07-03-21
30503,Lorazepam 100,1L,86,17.99,01-12-20
69503,Temazepam 200,16.0Z,0,9.99,12-12-20
118567,Budesonide 10,375ML,0,27.99,31-12-20
308897,Loratadine,750ML,0,43.99,04-12-20
10959,Aceclofenac,750ML,13,48.99,19-01-21
77521,Fenoprofen,750ML,8,59.99,07-03-21
310442,Choline,750ML,0,17.49,08-04-21
42038,Paracetamol,750ML,34,124.99,04-07-20
62754,Lorazepam,12.0Z,12,13.99,01-12-20
332339,Temazepam,750ML,0,16.49,12-12-20
339711,Budesonide,750ML,0,20.99,31-12-20
71002,Loratadine,750ML,0,83.99,04-12-20
332066,Aceclofenac,750ML,0,11.99,01-12-20
328152,Fenoprofen,750ML,24,12.49,12-12-20
47564,Choline,1L,3,16.99,31-12-20
74772,Paracetamol,750ML,160,69.99,04-12-20
306553,Lorazepam,750ML,0,18.99,19-01-21
70315,Temazepam,750ML,12,28.99,07-03-21
314825,Budesonide,750ML,0,30.99,01-12-20
16772,Loratadine,1L,0,20.99,12-12-20
345458,Aceclofenac,750ML,7,12.49,31-12-20
232282,Fenoprofen,750ML,0,12.99,04-12-20
332985,Choline,750ML,0,9.99,19-01-21
46747,Paracetamol,750ML,0,6.19,07-03-21
411345,Lorazepam,1.5L,0,12.99,01-12-20
